"data","focal trait","context trait","switching point","effect at mean"
"beetle survival","cardenolide suite 2015","cardenolide 8.4",1.01711066734772,"defensive"
"beetle survival","leaf toughness","cardenolide 8.4",4.8879075081119,"beneficial to herbivore"
"beetle survival","trichome density","cardenolide 8.4",1.13949034056635,"defensive"
"beetle survival","latex","cardenolide 8.4",223.560509098476,"defensive"
"beetle survival","cardenolide suite 2015","cardenolide 10.2",0.700588403793627,"beneficial to herbivore"
"beetle survival","leaf toughness","cardenolide 10.2",0.764014595167744,"beneficial to herbivore"
"beetle survival","trichome density","cardenolide 10.2",0.0242988641667601,"defensive"
"beetle survival","latex","cardenolide 10.2",3.91402503279575,"defensive"
"beetle survival","leaf toughness","cardenolide suite 2015",0.337158927528549,"beneficial to herbivore"
"beetle survival","trichome density","cardenolide suite 2015",0.503060674061395,"defensive"
"beetle survival","latex","cardenolide suite 2015",3.01809744006381,"defensive"
"beetle survival","trichome density","leaf toughness",0.455416716213842,"defensive"
"beetle survival","latex","leaf toughness",15.4951097884913,"defensive"
"beetle survival","latex","trichome density",0.139180587548942,"beneficial to herbivore"
"monarch growth","LMA","cardenolide 10.5",1.73185498263122,"beneficial to herbivore"
"monarch growth","LMA","cardenolide 18.6",0.724179774944039,"beneficial to herbivore"
"monarch growth","LMA","non nitrogen (%)",0.526713867244221,"beneficial to herbivore"
"monarch growth","LMA","carbon (%)",3.71435819680641,"beneficial to herbivore"
"monarch growth","LMA","latex",5.38037901280709,"beneficial to herbivore"
"monarch growth","LMA","trichome density",0.95030648710778,"beneficial to herbivore"
"monarch growth","LMA","leaf toughness",17.7395877321573,"beneficial to herbivore"
"monarch growth","LMA","cardenolide suite 2015",0.536849710350605,"beneficial to herbivore"
"monarch growth","cardenolide 10.5","cardenolide 18.6",0.421900845577455,"defensive"
"monarch growth","cardenolide 10.5","non nitrogen (%)",0.226053289934262,"defensive"
"monarch growth","cardenolide 10.5","carbon (%)",0.507371873230116,"beneficial to herbivore"
"monarch growth","cardenolide 10.5","latex",0.841033194040039,"defensive"
"monarch growth","cardenolide 10.5","trichome density",3.14090813863781,"beneficial to herbivore"
"monarch growth","cardenolide 10.5","leaf toughness",0.0721744712807513,"beneficial to herbivore"
"monarch growth","cardenolide 10.5","cardenolide suite 2015",0.50171156465425,"defensive"
"monarch growth","cardenolide 18.6","non nitrogen (%)",0.075082369828648,"beneficial to herbivore"
"monarch growth","cardenolide 18.6","carbon (%)",0.0252129630960552,"defensive"
"monarch growth","cardenolide 18.6","latex",0.133937964074595,"beneficial to herbivore"
"monarch growth","cardenolide 18.6","trichome density",5.64066311111782,"beneficial to herbivore"
"monarch growth","cardenolide 18.6","leaf toughness",0.0746512577281223,"defensive"
"monarch growth","cardenolide 18.6","cardenolide suite 2015",0.109608505942138,"defensive"
"monarch growth","non nitrogen (%)","carbon (%)",0.97338681692651,"beneficial to herbivore"
"monarch growth","non nitrogen (%)","latex",2.26325027790583,"defensive"
"monarch growth","non nitrogen (%)","trichome density",0.596335314212293,"defensive"
"monarch growth","non nitrogen (%)","leaf toughness",0.46302385225258,"defensive"
"monarch growth","non nitrogen (%)","cardenolide suite 2015",0.444865647315401,"defensive"
"monarch growth","carbon (%)","latex",4.46294050609128,"beneficial to herbivore"
"monarch growth","carbon (%)","trichome density",4.95686363877167,"beneficial to herbivore"
"monarch growth","carbon (%)","leaf toughness",1.15700198607455,"beneficial to herbivore"
"monarch growth","carbon (%)","cardenolide suite 2015",142.196914165802,"beneficial to herbivore"
"monarch growth","latex","trichome density",32.8792923365381,"defensive"
"monarch growth","latex","leaf toughness",2.48029673179366,"defensive"
"monarch growth","latex","cardenolide suite 2015",1.80552165929192,"defensive"
"monarch growth","trichome density","leaf toughness",1.62902036520964,"beneficial to herbivore"
"monarch growth","trichome density","cardenolide suite 2015",10.0392554044734,"beneficial to herbivore"
"monarch growth","leaf toughness","cardenolide suite 2015",0.025142702246793,"beneficial to herbivore"
"monarch survival","LMA","cardenolide 10.5",0.259713459905605,"beneficial to herbivore"
"monarch survival","LMA","cardenolide 18.6",0.574021463011914,"beneficial to herbivore"
"monarch survival","LMA","non nitrogen (%)",0.0176798938805261,"defensive"
"monarch survival","LMA","carbon (%)",0.758096107405963,"beneficial to herbivore"
"monarch survival","LMA","latex",0.552735797153864,"beneficial to herbivore"
"monarch survival","LMA","trichome density",1.26829538665478,"beneficial to herbivore"
"monarch survival","LMA","leaf toughness",1.97258614608195,"beneficial to herbivore"
"monarch survival","LMA","cardenolide suite 2015",1.06303600876585,"beneficial to herbivore"
"monarch survival","cardenolide 10.5","cardenolide 18.6",1.36743714888279,"defensive"
"monarch survival","cardenolide 10.5","non nitrogen (%)",142.113303663494,"defensive"
"monarch survival","cardenolide 10.5","carbon (%)",3.15991906953236,"defensive"
"monarch survival","cardenolide 10.5","latex",1.16402235162311,"defensive"
"monarch survival","cardenolide 10.5","trichome density",1.51551756148055,"defensive"
"monarch survival","cardenolide 10.5","leaf toughness",3.39587273028856,"defensive"
"monarch survival","cardenolide 10.5","cardenolide suite 2015",0.969509025073777,"defensive"
"monarch survival","cardenolide 18.6","non nitrogen (%)",0.0938465316313079,"beneficial to herbivore"
"monarch survival","cardenolide 18.6","carbon (%)",0.0609868360217866,"defensive"
"monarch survival","cardenolide 18.6","latex",0.0179839507232442,"beneficial to herbivore"
"monarch survival","cardenolide 18.6","trichome density",0.494762526859319,"defensive"
"monarch survival","cardenolide 18.6","leaf toughness",1.62051159796496,"defensive"
"monarch survival","cardenolide 18.6","cardenolide suite 2015",0.0926412527497547,"defensive"
"monarch survival","non nitrogen (%)","carbon (%)",3.1558343002696,"defensive"
"monarch survival","non nitrogen (%)","latex",4.92989634435928,"defensive"
"monarch survival","non nitrogen (%)","trichome density",2.2972361265709,"defensive"
"monarch survival","non nitrogen (%)","leaf toughness",8.94406242657406,"defensive"
"monarch survival","non nitrogen (%)","cardenolide suite 2015",4.88586217199584,"defensive"
"monarch survival","carbon (%)","latex",5.31208248310592,"defensive"
"monarch survival","carbon (%)","trichome density",2.04656818337421,"defensive"
"monarch survival","carbon (%)","leaf toughness",0.638473531347649,"defensive"
"monarch survival","carbon (%)","cardenolide suite 2015",0.279320024437006,"defensive"
"monarch survival","latex","trichome density",0.0522770169410106,"beneficial to herbivore"
"monarch survival","latex","leaf toughness",0.741154477790819,"beneficial to herbivore"
"monarch survival","latex","cardenolide suite 2015",0.0513537436059755,"beneficial to herbivore"
"monarch survival","trichome density","leaf toughness",1.19367956675607,"defensive"
"monarch survival","trichome density","cardenolide suite 2015",0.653890953793399,"defensive"
"monarch survival","leaf toughness","cardenolide suite 2015",1.89529683697624,"defensive"
"beetle growth","cardenolide 8.4","cardenolide 10.2",0.67231159113287,"defensive"
"beetle growth","cardenolide 8.4","cardenolide suite 2015",1.20714704690991,"defensive"
"beetle growth","cardenolide 8.4","leaf toughness",0.189126771268698,"defensive"
"beetle growth","cardenolide 8.4","trichome density",0.925157711138693,"defensive"
"beetle growth","cardenolide 8.4","latex",3.28883929938281,"defensive"
"beetle growth","cardenolide 10.2","cardenolide suite 2015",1.28997083073197,"beneficial to herbivore"
"beetle growth","cardenolide 10.2","leaf toughness",0.691885373068844,"beneficial to herbivore"
"beetle growth","cardenolide 10.2","trichome density",0.922235701648497,"defensive"
"beetle growth","cardenolide 10.2","latex",0.808513406641543,"defensive"
"beetle growth","cardenolide suite 2015","leaf toughness",1.24244718995438,"beneficial to herbivore"
"beetle growth","cardenolide suite 2015","trichome density",0.551344855814209,"beneficial to herbivore"
"beetle growth","cardenolide suite 2015","latex",2.07726852070744,"defensive"
"beetle growth","leaf toughness","trichome density",4.58879401695545,"beneficial to herbivore"
"beetle growth","leaf toughness","latex",0.884071007248839,"beneficial to herbivore"
"beetle growth","trichome density","latex",0.531542554543423,"beneficial to herbivore"
"beetle survival","cardenolide 8.4","cardenolide 10.2",1.08357160212632,"defensive"
"beetle survival","cardenolide 8.4","cardenolide suite 2015",3.06309584094725,"defensive"
"beetle survival","cardenolide 8.4","leaf toughness",42.1526287746142,"defensive"
"beetle survival","cardenolide 8.4","trichome density",2.82927257181062,"defensive"
"beetle survival","cardenolide 8.4","latex",5649.52149363345,"defensive"
"beetle survival","cardenolide 10.2","cardenolide suite 2015",25.928633062175,"defensive"
"beetle survival","cardenolide 10.2","leaf toughness",4.40121853002719,"defensive"
"beetle survival","cardenolide 10.2","trichome density",5.51561669398366,"defensive"
"beetle survival","cardenolide 10.2","latex",10.2643966149173,"defensive"
"beetle survival","cardenolide suite 2015","leaf toughness",1.80956877109393,"defensive"
"beetle survival","cardenolide suite 2015","trichome density",2.59827130145912,"defensive"
"beetle survival","cardenolide suite 2015","latex",4.40950646459296,"defensive"
"beetle survival","leaf toughness","trichome density",0.528476173659449,"beneficial to herbivore"
"beetle survival","leaf toughness","latex",40.660381678496,"beneficial to herbivore"
"beetle survival","trichome density","latex",0.341196936885505,"beneficial to herbivore"
